label,content
prevention,發佈日期：2021-09-27                        中央流行疫情指揮中心今(27)日表示，考量國內疫情目前已趨緩且穩定控制，經與相關單位溝通討論及評估後，指揮中心規劃於本週起放寬部分場域防疫管制措施，並於10月5日起有條件開放部分休閒娛樂場所，詳細防疫管制措施將由主管部會公布/修訂之相關指引辦理，原則說明如下：一、各場域管制調整(本週起放寬)：1. 臺鐵、高鐵：車站付費區，如能維持適當社交距離，可開放飲食。2. 遊覽車：以核定座位數乘坐，不另限制承載上限。3. 藝文表演展覽、體育活動賽事：(1) 實聯制、量體溫、全程戴口罩、禁止飲食。(2) 室內：進場人數符合場所容留人數，得不受限室內80人上限，以實際座位數入座，且不限梅花座/間隔座。(3) 室外：人數降載50%(如實際座位數50%)，得不受限室外300人上限。(4) 如能維持排隊時之室內外適當社交距離，得現場售票，不限預約制。(5) 開演前、中場休息及散場時仍須維持室內外適當社交距離。二、有條件開放部分休閒娛樂場所(規劃10月5日起)，並依經濟部公布之相關場所防疫管理措施指引辦理： 1. 通則：   (1) 預約制、實聯制、量體溫、全程戴口罩、人流控管、加強通風換氣。不得有陪侍服務行為。(2) 從業人員應6成以上已施打至少1劑疫苗滿14天，落實健康管理。2. 電子遊戲場所及資訊休閒場所： (1) 顧客以1人1機遊玩，機檯間須裝設隔板，或採間隔座/梅花座。禁止飲食。(2) 場所內須裝設攝影監視設備，必要時提供錄影資料供查核。(3) 定時執行環境及機臺清消，顧客把玩離開後立即消毒機臺。洗手間加強清消。3. 錄影節目帶播映場所(MTV)(1) 固定座位，採梅花座或間隔座。非固定座位須維持1.5公尺以上距離。禁止飲食。(2) 每組顧客消費完畢，應清消包廂環境設備，距下一組顧客使用至少隔30分鐘。(3) 維持場所良好通風，每2小時進行換氣，加速室內空氣循環。4. 視聽歌唱場所(自助式KTV及電話亭KTV)(1) 除飲水外不得飲食。須全程戴口罩（包括使用麥克風時）。(2) 每組顧客消費完畢，應清消包廂環境設備，距下一組顧客使用至少隔30分鐘。(3) 維持場所良好通風，每2小時進行換氣，加速室內空氣循環。5. 桌遊、麻將休閒館營業場所(1) 不同桌之顧客間保持1.5公尺以上間距或獨立包廂、屏風或隔板，同桌者使用隔板。(2) 接觸遊具前後應執行手部衛生並戴手套。飲食須遵照餐飲相關規範。(3) 遊具及桌面使用過應立即清消，間隔至少15分鐘始能提供下一組客人使用。三、仍需關閉之場所：歌廳、舞廳、夜總會、俱樂部、酒家、酒吧、酒店(廊)、理容院(觀光理髮、視聽理容)。指揮中心說明，將持續觀察國內外疫情態勢，循序漸進放寬管制措施，也請民眾應落實手部衛生、咳嗽禮節及佩戴口罩等個人防護措施，並主動積極配合各項防疫措施，才能達到兼顧防疫與生活品質。                    
prevention,發佈日期：2022-05-13                        中央流行疫情指揮中心今(13)日澄清說明，有關立法委員於社群網路上指稱「防護面罩預算63.9億，快篩預算僅5264萬」，查該資料係特別預算之防疫物資項下截至「2022年3月31日」累計執行數(付款數)，其中項目「防護面罩」含括一般醫用口罩、外科口罩、N95口罩及可掀式、拋棄式面罩等用於臉部之防護物品。至於「快篩預算僅5264萬」，該金額係3月31日前已支付快篩試劑款項，目前徵用及採購之「快篩試劑」金額尚未計入，相關預算衛生福利部每月均將辦理情形表公布於官網供大眾檢視。指揮中心表示，截至本(111)年3月底預算執行，5千餘萬元快篩試劑支出項目包括：社區診所定點監測、國際機場特定高風險工作人員監視計畫、發放入境旅客居檢所需、桃園自貿園區群聚事件採檢等。因應疫情急遽變化，政策滾動式調整，指揮中心將視COVID-19疫情防治及全民需求，持續採購相關防疫物資。指揮中心重申，有關疫情相關資訊及政策，均會由指揮中心統一對外公布，勿輕信社群軟體流傳消息，以免自身權益受損。另提醒民眾，防疫相關資訊應以官方資訊發布內容為主，若對訊息有疑問，可至政府部門官方網站查詢(如衛生福利部、經濟部、外交部、經濟部、內政部等)，收到來路不明訊息多加留意、查證，切勿轉傳散播。詳情請上官網查詢 (http://at.cdc.tw/Q7S2Vt)。                    
prevention,"發佈日期：2022-06-17                        中央流行疫情指揮中心今(17)日表示，因應疫情變化，指揮中心持續優化相關資訊系統，請民眾善用確診個案自主回報疫調系統，即可即時取得電子隔離通知。指揮中心統計，自今(2022)年5月1日起啟動確診個案自主回報疫調，至6月16日止，國內確診總人數為302萬5,267人，其中239萬5,689人(佔79.2%)已透過自主疫調系統取得電子指定處所隔離通知書、計250萬9,377的密切接觸者取得電子居家隔離通知書，數位新冠病毒健康證明系統亦有10萬4,208名確診者 (佔3.4%)取得補發電子指定處所隔離通知書、計24萬2,060的密切接觸者取得電子隔離證明。指揮中心指出，前述自主疫調系統已進行多次優化，自6月起系統效率已符合預期，已有近90%確診者可於4小時內取得電子指定處所隔離通知書。但仍約有17.4%(計52萬5,370人)的確診者未利用自主疫調，因此無法獲得後續相關電子化服務。指揮中心說明，疫調相關資訊系統可簡化地方政府疫調、減輕開立紙本通知書等行政負擔，讓地方衛政人員優先安排中重症病患在醫院或集檢所等接受隔離治療。指揮中心呼籲確診民眾主動配合填寫確診個案自主回報疫調系統，填寫時提供正確手機號碼、隔離地址、生理狀況及同住家人等資料，以利疫調順利完成。指揮中心強調，因應全球COVID-19疫情仍不斷變化，政府也將調整相關科技防疫措施並持續精進，同時感謝全民於疫情期間配合政府自主防疫政策，共同為維護國內防疫安全努力。                     "
prevention,發佈日期：2022-06-27                        疾病管制署今(27)日公布國內上週新增3例日本腦炎確定病例，為屏東縣屏東市50多歲男性、新竹縣湖口鄉50多歲男性及嘉義縣民雄鄉40多歲男性，3人發病日分別為6月1日、6月14日及6月15日，症狀包括發燒及意識改變等，經就醫通報後確診，目前均仍住院治療中。疾管署表示，3名確診個案中，屏東縣個案住家及工作地周邊發現有水稻田、豬舍等高風險場所，研判於住家及工作地周邊感染的可能性較高；嘉義縣個案主要於其租屋處、案母住家及工作地活動，其工作地周邊亦有雞舍、牛舍、水稻田及豬舍，研判於工作地周邊感染的可能性較高；而新竹縣個案於新竹縣湖口鄉住家周邊無高風險場所，惟其潛伏期間曾居住於其他縣市，該住家周邊有豬舍及羊舍，感染源待進一步釐清。衛生單位已前往個案活動地周邊進行誘蚊燈懸掛及化學噴藥等防治措施，同時加強對當地民眾衛教宣導及預防接種。疾管署監測資料顯示，國內今(2022)年截至目前共4例確定病例，個案居住地分別為新竹縣、嘉義縣、臺南市及屏東縣各1例，個案活動地附近多有高風險環境；2018至2021年全國同期確定病例數分別為21、12、7及13例，以40歲以上成人較多，惟各年齡層都有感染風險，民眾不可掉以輕心。疾管署指出，臺灣每年5至10月為日本腦炎流行季，其中6至7月為流行高峰。在臺灣以三斑家蚊、環紋家蚊及白頭家蚊為主要病媒蚊，常孳生於水稻田、池塘及灌溉溝渠等處，吸血高峰為黃昏與黎明時段。大部分的人感染日本腦炎後大多無明顯症狀，少數會有頭痛、發燒或無菌性腦膜炎，嚴重則可能出現意識改變、對人時地不能辨別、全身無力、腦神經功能損傷、輕癱等，甚至昏迷或死亡。請民眾儘量避免於病媒蚊吸血高峰時段，在上述易孳生病媒蚊之高風險環境附近活動；如果無法避免，應穿著淺色長袖衣褲，並於身體裸露處使用政府機關核可，含敵避(DEET)、派卡瑞丁(Picaridin)或伊默克(IR3535)成分的防蚊藥劑。疾管署呼籲，預防日本腦炎最有效的方法為接種日本腦炎疫苗，提醒民眾應按時帶家中適齡幼兒至各地衛生所或合約院所接種疫苗，以避免因感染衍生嚴重後遺症。住家或活動地鄰近豬舍、水稻田等高風險環境的民眾應加強防蚊，如自覺有感染風險的成人，可前往旅遊醫學門診評估自費接種疫苗。相關資訊可至疾管署網站(https://www.cdc.gov.tw)或撥打免付費防疫專線1922(或0800-001922)洽詢。                     
prevention,發佈日期：2022-05-13                        中央流行疫情指揮中心今(13)日宣布，為提供無法使用視訊或未能成功預約視訊診療之民眾評估確認快篩陽性結果管道，自5月14日起，開放居家隔離、自主防疫及居家檢疫3類對象快篩陽性時，可委由親友攜帶健保卡及快篩檢測卡匣/檢測片至診所或負責居家照護之責任院所(含衛生所)請醫師確認。指揮中心表示，民眾於居家隔離及自主防疫或居家檢疫期間，使用家用抗原快篩試劑檢測結果陽性，可透過遠距門診醫療，請遠距/視訊診療醫師協助評估確認快篩陽性結果；如居家環境設備無法使用視訊或未能成功預約視訊診療者，可委由非居家隔離親友攜帶健保卡及快篩檢測卡匣/檢測片卡至診所或負責居家照護之責任院所(含衛生所)請醫師確認。使用遠距門診醫療者可以透過健保署全球資訊網首頁/重要政策/COVID-19就醫權益與因應作為/民眾就醫權益(視訊診療看這裡)/因應COVID-19疫情之視訊診療（網址為：https://www.nhi.gov.tw/Content_List.aspx?n=682E61D7A9C3A59D&topn=787128DAD5F71B1A ），或使用「健保快易通APP∣健康存摺APP」，查詢附近「視訊診療指定院所」，並先行電話洽詢或至院所網頁預約掛號，或可聯繫地方衛生所、關懷中心協尋可提供視訊診療服務之院所，透過遠距門診醫療，請遠距/視訊診療醫師協助評估確認快篩陽性結果。指揮中心提醒，民眾預約訊診療或前往診所、負責居家照護之責任院所(含衛生所)評估確認陽性結果時，請配合下列事項：一、評估前，先行準備：(一)自行快篩陽性後，於判讀陽性之檢測卡匣/檢測片，寫上檢測者姓名及檢測日期。(二)將檢測判讀後之檢測卡匣/檢測片及健保卡放在一起拍照。(三)如至診所請醫師確認，應以夾鏈袋或塑膠袋密封包好攜帶至診所。(四)配合於醫師視訊或現場評估時出示判讀陽性之檢測卡匣/檢測片。二、評估時，如採視訊評估，並依視訊診療醫師指示上傳照片；如採現場評估，無需上傳照片，但建議評估醫師電話聯繫快篩陽性個案或其法定代理人，請其確認該檢測結果確為其所屬。三、評估後，醫病已對快篩陽性結果達成共識，請民眾配合將檢測卡匣/檢測片銷毀或塗毀。若由親友帶至診所評估，則交由醫事人員處理；若是於家中遠端評估，則依居家照護垃圾清理原則，以雙層垃圾袋包裝並確實密封。指揮中心表示，當民眾及醫師對評估陽性結果如達成共識，即可由評估確認醫師所屬醫事機構進行通報，並由系統自動研判為確診，後續將由地方政府衛生局依確診個案分流收治原則，安排個案於住家居家照護或其他指定處所進行隔離或隔離治療，但民眾或評估醫師對於快篩陽性結果如未有共識或有疑義，仍可通知衛生局安排PCR採檢。                    
prevention,發佈日期：2022-09-05                        中央流行疫情指揮中心今(5)日表示，為兼顧與國際接軌、防疫工作及促進社會經濟活動需要，自今(2022)年9月12日起，恢復實施美、加、紐、澳、歐洲與邦交國國民入境免簽證待遇。指揮中心指出，鑒於全球多數國家已開放邊境，並回復疫情前邊境管制措施，為平衡防疫工作、促進經濟及社會活動與國際交流之需要，經綜合評估，宣布自今年9月12日起，在入境人數持續總量管制、兼顧防疫工作及疫情可控的前提下，恢復美、加、紐、澳、歐洲與邦交國免簽證來臺待遇。指揮中心提醒，上述邊境管制措施及防疫措施將視疫情變化滾動式調整。呼籲來臺旅客請務必遵守「3天居家檢疫+4天自主防疫」期間的各項檢疫、防疫措施，共同維護國內社區安全。                    
prevention,"發佈日期：2022-02-11                        西洋情人節即將來到，疾管署呼籲預防愛滋三大公式：愛前「預防」，愛有一「套」，有愛就「篩」，讓愛的過程健康、沒煩惱！為預防愛滋病毒感染，疾管署持續推動「愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫」，讓可能有感染愛滋風險的民眾，經醫師評估後，透過服用PrEP藥物，使體內有足夠的藥物濃度來預防被愛滋病毒感染，保護效果可達90%以上。今年全國計有38家醫療院所，提供愛滋感染者之配偶或伴侶，及35歲(含)以下年輕族群，整合型服務包含：醫師評估、PrEP藥物、衛教諮詢、性病檢驗，若合併有藥癮問題亦協助轉介戒治等個人化服務。因公費PrEP計畫補助名額有限，請有需求的民眾儘早洽詢，可至疾管署網站PrEP專區(https://reurl.cc/e6M1Mb)查詢。民眾若不符合公費補助條件，亦可經醫師評估後自費服用PrEP藥物。依疾管署統計資料顯示，2021年新通報的1,246位愛滋感染者中，超過9成的感染危險因子為不安全性行為。因此若發生性行為，應全程正確使用保險套及水性潤滑液，勿搭配油性潤滑液(如凡士林、乳液等)，避免保險套乳化破損，以預防感染愛滋等性傳染病。為鼓勵民眾了解自身健康狀況，疾管署亦持續辦理「愛滋自我篩檢計畫」，民眾可上網預訂、超商取貨領用自我篩檢試劑，也可前往民間團體、衛生局(所)，或利用自動服務機取得試劑進行自我篩檢，兼顧隱私與便利性，相關內容可至疾管署「愛滋自我篩檢計畫」網頁(https://hiva.cdc.gov.tw/Selftest)查詢。若希望由專人提供篩檢諮詢服務，也可至全國70家「愛滋匿名篩檢服務」醫療院所，20分鐘即可得知初步篩檢結果且無須擔心隱私，相關內容可至疾管署網站「愛滋匿名篩檢服務」網頁(https://reurl.cc/OpYZ9y)查詢。                    "
prevention,發佈日期：2021-12-21中央流行疫情指揮中心今(21)日表示，本(2021)年12月14日起入境擇定春節檢疫專案C方案之民眾，將自12月21日起陸續期滿168小時，凡經檢疫第6天PCR檢測陰性及返家居家檢疫環境與條件均符合規定者，請全程佩戴口罩，搭乘地方政府安排之防疫車輛，返家接續後7天在家居家檢疫，並配合以下檢測措施：一、檢疫期間第10天(Day 10)以家用快篩檢測1次，並配合健康關懷回報結果。二、在家居家檢疫期滿前(Day 13-14)進行PCR檢測1次。三、檢疫期滿後，自主健康管理期間第6至7天(Day 20-21)以家用快篩檢測1次，並以雙向簡訊回復篩檢結果。指揮中心再次提醒，在居家檢疫期間，應留在家中，禁止外出，亦不得出境或出國，確實遵守「防範嚴重特殊傳染性肺炎入境健康聲明暨居家檢疫通知書(春節檢疫專案)」所載規定，並呼籲返家後7天係採1人1室之檢疫者，其同戶內同住者(非居家檢疫者)應共同遵守以下加強暨自主健康管理相關規定及檢測措施，包括：一、於檢疫者返家第3天、第7天各進行1次自費家用快篩，並以雙向簡訊回報結果。二、檢疫者返家檢疫同住期間加強自主健康管理7天，檢疫者檢疫期滿後，接續一起自主健康管理7天。三、自主健康管理期間之規定：(一)    每日早/晚各量體溫一次、詳實記錄體溫、健康狀況及活動史，並配合雙向簡訊回報健康狀況。(二)    避免出入無法保持社交距離，或容易近距離接觸不特定人之場所。(三)    禁止從事近距離或群聚型之活動。(四)    外出時全程佩戴口罩及保持社交距離。(五)    若出現相關症狀，應主動與當地衛生局聯繫，或撥1922，依指示方式就醫。四、加強自主健康管理期間，除遵守上開規定外，應同時遵守下列規定：(一)    不可與自國外入境家人共用房間、衛浴，亦不可同處、共食。(二)    僅能從事固定且有限度之活動，且不可搭乘大眾運輸，禁止至人潮擁擠場所。(三)    落實實名制，須記錄每日活動，且應全程佩戴口罩及保持社交距離。指揮中心強調，檢疫措施是控制疫情的必要防線之一，請民眾務必遵守檢疫期間相關事項，如有違反規定，依法最高可處新臺幣100萬元罰鍰。
prevention,發佈日期：2022-11-01                        19歲的小恩(化名)透過交友軟體認識成哥，因為打算與成哥邁入下一階段關係，成哥鼓勵小恩即使身體沒有感到不適，可以上網購買愛滋自我篩檢，篩檢是保護彼此的好方法；沒想到小恩自我篩檢陽性，後續確認檢驗也陽性，且病毒量高達200多萬，所幸有透過自我篩檢，及早發現及時銜接治療，目前小恩在成哥陪伴下積極就醫治療，病毒量也受到有效控制。為鼓勵民眾瞭解自身健康狀況，疾管署今(2022)年持續辦理「愛滋自我篩檢計畫」，截至9月底止已提供約4萬人次篩檢服務。鑒於我國愛滋疫情以年輕族群為主，今年新通報愛滋感染者中24歲以下占19%，25-34歲占40%，同時考量年輕族群經濟大多未完全獨立，推廣校園愛滋自我篩檢，自即日起至今年12月31日止，免費提供高中職(含)以上學生試劑電子兌換券，可兌換免費試劑1支進行愛滋自我篩檢，鼓勵有篩檢需求之學生瞭解自身健康狀態，試劑數量有限，送完為止，請把握掌握自身健康的機會。疾管署說明，凡高中職(含)以上在學的學生皆可申請，只要加入疾管署愛滋自我篩檢網站會員(為匿名，僅需填入個人E-mail及設定密碼)，登入會員專區後，點選「校園免費試劑電子兌換券推廣活動」，並進行學生身份驗證，免費愛滋自我篩檢試劑電子兌換券即匯入至個人之會員專區，電子兌換券可至實體通路或網路訂購超商取貨通路(可匿名，另支付物流費用45元)兌換愛滋自我篩檢試劑1支。自我篩檢，兼顧隱私與便利性，相關服務內容及試劑提供地點資訊可至疾管署自我篩檢計畫網頁(https://hiva.cdc.gov.tw/Selftest/)查詢。疾管署表示，完成篩檢後還可以依包裝指示上傳「試劑編號」照片、登錄檢驗結果，經審核後可參加「愛滋自我篩檢 登錄檢驗結果抽獎」活動，凡於今年11月30日前完成檢驗結果登錄皆可參加，將於12月份抽出第2波計201個獎項，最大獎為1萬元電子即享券，鼓勵學生朋友關注自身健康。同時衛生局、匿名篩檢院所及相關民間團體也有提供篩檢諮詢及篩檢陽性個案轉介或陪伴就醫等服務，如有需求可多加利用。若愛滋自我篩檢初步檢驗呈陽性，即使沒有不適，請儘速至愛滋指定醫事機構進一步確認檢驗，疾管署亦補助當次就醫掛號費及部分負擔。疾管署提醒，若發生性行為應主動要求對方或自己全程使用保險套，並搭配水性潤滑液，以保護自己，降低感染風險。同時也呼籲，有性行為者，建議至少進行1次愛滋篩檢，有不安全性行為者，建議每年至少進行1次篩檢，若有感染風險行為(如多重性伴侶、合併使用成癮性藥物、感染性病等)，建議每3至6個月篩檢1次，以了解自身健康狀況，保護自己與您所愛的人。                    
prevention,發佈日期：2022-05-13                        中央流行疫情指揮中心今(13)日表示，考量國內 COVID-19疫情持續升溫，兒童確定病例數增加，為提供學齡前兒童(6歲以下)優先照顧，舒緩醫院急診量、避免過多就診者排擠兒童之待診時間，以及減少群聚，指揮中心已請教育部、國防部、退輔會附屬醫院及衛生福利部部立醫院等四大公立醫療體系，儘速配合開設學齡前兒童就醫綠色通道(防疫急門診)，建立兒童專用候診動線，由兒科專科醫師看診，提供學齡前兒童相關評估、採檢與診療服務。指揮中心指出，截至今日中午，四大公立醫療體系設置學齡前兒童就醫綠色通道計有36家醫院，包括退輔會附屬榮民醫院15家、國防部所屬軍醫院13家、教育部所屬大學醫院4家及衛生福利部部立醫院4家，另衛生福利部部立醫院尚有13家將於5月18日前全數完成開設兒童就醫綠色通道。                     
